MSG,3,1,1,3C4581,1,2026/05/09,04:09:44.590,2026/05/09,04:09:44.612,,37000,,,53.851582,5.484763,,,0,,0,0
MSG,8,1,1,484763,1,2026/05/09,07:06:38.794,2026/05/09,07:06:38.810,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:06:49.465,2026/05/09,07:06:49.486,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:06:51.821,2026/05/09,07:06:51.835,,-100,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:06:59.751,2026/05/09,07:06:59.753,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:06:59.773,2026/05/09,07:06:59.781,,-100,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:01.697,2026/05/09,07:07:01.719,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:09.903,2026/05/09,07:07:09.912,,-100,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:10.562,2026/05/09,07:07:10.567,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:10.788,2026/05/09,07:07:10.813,,-100,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:14.674,2026/05/09,07:07:14.690,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:18.506,2026/05/09,07:07:18.513,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:20.260,2026/05/09,07:07:20.288,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:21.120,2026/05/09,07:07:21.135,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:22.290,2026/05/09,07:07:22.309,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:23.222,2026/05/09,07:07:23.238,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:23.290,2026/05/09,07:07:23.292,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:24.163,2026/05/09,07:07:24.166,,-200,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:25.173,2026/05/09,07:07:25.176,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:25.197,2026/05/09,07:07:25.203,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:26.145,2026/05/09,07:07:26.159,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:26.309,2026/05/09,07:07:26.323,,-200,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:26.811,2026/05/09,07:07:26.814,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:27.902,2026/05/09,07:07:27.907,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:28.175,2026/05/09,07:07:28.180,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:28.729,2026/05/09,07:07:28.753,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:29.134,2026/05/09,07:07:29.135,,-200,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:30.127,2026/05/09,07:07:30.146,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:30.523,2026/05/09,07:07:30.529,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:31.188,2026/05/09,07:07:31.211,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:31.699,2026/05/09,07:07:31.702,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:32.241,2026/05/09,07:07:32.248,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:32.529,2026/05/09,07:07:32.549,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:34.351,2026/05/09,07:07:34.378,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:36.219,2026/05/09,07:07:36.235,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:37.169,2026/05/09,07:07:37.191,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:37.196,2026/05/09,07:07:37.218,,-200,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:38.159,2026/05/09,07:07:38.174,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:38.311,2026/05/09,07:07:38.338,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:38.758,2026/05/09,07:07:38.775,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:39.317,2026/05/09,07:07:39.321,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:41.869,2026/05/09,07:07:41.887,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:42.203,2026/05/09,07:07:42.215,,-200,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:43.769,2026/05/09,07:07:43.772,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:47.002,2026/05/09,07:07:47.021,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:49.056,2026/05/09,07:07:49.069,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:50.109,2026/05/09,07:07:50.134,,-200,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:50.803,2026/05/09,07:07:50.817,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:51.182,2026/05/09,07:07:51.200,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:54.056,2026/05/09,07:07:54.066,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:54.906,2026/05/09,07:07:54.913,,-200,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:55.798,2026/05/09,07:07:55.814,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:57.104,2026/05/09,07:07:57.125,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:07:59.224,2026/05/09,07:07:59.228,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:07:59.340,2026/05/09,07:07:59.364,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:02.011,2026/05/09,07:08:02.012,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:02.240,2026/05/09,07:08:02.258,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:04.398,2026/05/09,07:08:04.415,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:04.598,2026/05/09,07:08:04.607,,-200,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:05.592,2026/05/09,07:08:05.617,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:06.544,2026/05/09,07:08:06.546,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:08.645,2026/05/09,07:08:08.648,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:08.663,2026/05/09,07:08:08.675,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:10.927,2026/05/09,07:08:10.942,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:12.611,2026/05/09,07:08:12.635,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:13.173,2026/05/09,07:08:13.181,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:13.595,2026/05/09,07:08:13.618,,-200,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:14.638,2026/05/09,07:08:14.656,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:15.253,2026/05/09,07:08:15.256,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:16.635,2026/05/09,07:08:16.649,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:18.121,2026/05/09,07:08:18.123,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:20.814,2026/05/09,07:08:20.827,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:23.014,2026/05/09,07:08:23.039,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:25.059,2026/05/09,07:08:25.059,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:28.120,2026/05/09,07:08:28.145,,,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:30.880,2026/05/09,07:08:30.903,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:31.185,2026/05/09,07:08:31.204,,-200,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:32.142,2026/05/09,07:08:32.159,,-200,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:32.657,2026/05/09,07:08:32.678,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:33.072,2026/05/09,07:08:33.088,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:33.596,2026/05/09,07:08:33.606,,-200,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:34.591,2026/05/09,07:08:34.617,,-200,,,,,,,,,,
MSG,8,1,1,484763,1,2026/05/09,07:08:35.329,2026/05/09,07:08:35.354,,,,,,,,,,,,
MSG,7,1,1,484763,1,2026/05/09,07:08:37.937,2026/05/09,07:08:37.949,,-200,,,,,,,,,,
